id,front,right,back,left,x,y,yaw
0,0,0,0,0,0.0,0.0,0.0
1,0,0,0,0,0.0,0.0,0.0
2,0,0,0,0,0.0,0.0,0.0
3,0,0,0,0,0.0,0.0,0.0
4,0,0,0,0,0.0,0.0,0.0
5,119,0,0,0,0.0,0.0,0.0
6,119,0,101,99,0.0,0.0,0.0
7,119,0,101,99,0.0,0.0,0.0
8,119,0,101,99,0.0,0.0,0.0
9,153,0,101,99,0.0,0.0,0.0
10,153,0,144,142,0.0,0.0,0.0
11,153,4,144,142,0.0,0.0,0.0
12,153,4,144,142,0.0,0.0,0.0
13,32766,4,144,142,0.0,0.0,0.0
14,32766,4,155,159,0.0,0.0,0.0
15,32766,6,155,159,0.0,0.0,0.0
16,32766,6,155,159,0.0,0.0,0.0
17,32766,6,155,159,0.0,0.0,0.0
18,32766,6,153,32766,0.0,0.0,0.0
19,32766,25,153,32766,0.0,0.0,0.0
20,32766,25,153,32766,0.0,0.0,0.0
21,169,25,153,32766,-4.093226948498341e-07,8.374416211154312e-05,-0.0007731649093329906
22,169,25,156,165,2.388250686635729e-05,0.00025056774029508233,-0.002001238986849785
23,169,6,156,165,0.0003055350389331579,0.0006380470003932714,-0.0034464166965335608
24,169,6,156,165,8.967130270320922e-06,0.0011435099877417088,-0.003762987442314625
25,32766,6,156,165,-4.16598268202506e-05,0.0005353257874958217,-0.004004412796348333
26,32766,6,156,158,-6.494278932223096e-05,0.0017059830715879798,-0.003706913674250245
27,32766,23,156,158,-0.00011008733417838812,0.00038333225529640913,-0.0021127292420715094
28,32766,23,156,158,-0.00012712119496427476,0.0019482692005112767,-0.0015909731155261397
29,32766,23,156,158,-0.00045144007890485227,0.0004883971996605396,-0.00037740825791843235
30,32766,23,155,157,0.0002956702373921871,0.0015669373096898198,-0.000147813800140284
31,32766,8,155,157,-0.0002357977064093575,0.00045106239849701524,-0.00021652014402206987
32,32766,8,155,157,-0.0003439180727582425,0.0004247776232659817,0.0002789825957734138
33,173,8,155,157,0.0006603312795050442,0.0016352160600945354,0.00018502412422094494
34,173,8,152,32766,-0.0005712545244023204,0.0027743119280785322,0.0008711092523299158
35,173,25,152,32766,-0.0006695926422253251,0.00020236555428709835,0.0025062148924916983
36,173,25,152,32766,0.0023269522935152054,0.0028998167254030704,-4.61949166492559e-05
