id,front,right,back,left,x,y,yaw
0,0,0,0,0,0.0,0.0,0.0
1,0,0,0,0,0.0,0.0,0.0
2,245,188,267,195,0.0,0.0,0.0
3,262,184,272,207,0.0,0.0,0.0
4,262,189,270,208,0.0,0.0,0.0
5,266,188,274,208,0.0,0.0,0.0
6,268,189,274,207,-0.00010331091471016407,3.0602044716943055e-05,-0.0021436666138470173
7,265,186,270,211,-0.0004955061594955623,0.00019873000564984977,-0.002683662110939622
8,264,189,274,211,-0.0012429923517629504,0.0004887276445515454,0.0024986632633954287
9,266,190,273,208,-0.0022779377177357674,0.0009297971264459193,0.0015139230526983738
10,268,187,273,207,-0.0036898425314575434,0.0015673977322876453,0.002187032951042056
11,267,188,270,209,-0.005380871705710888,0.002345966873690486,0.0027641316410154104
12,266,187,273,211,-0.00750327343121171,0.0033980095759034157,0.0021884797606617212
13,263,188,270,211,-0.009823842905461788,0.0046338411048054695,0.004039773717522621
14,264,188,271,209,-0.01258812565356493,0.006078092847019434,0.004537846893072128
15,265,186,275,206,-0.015585271641612053,0.00761706056073308,0.0027281283400952816
16,264,186,275,208,-0.0188892912119627,0.009338456206023693,0.004390023183077574
17,268,188,273,207,-0.022665224969387054,0.01129058562219143,0.004539839457720518
18,266,187,273,209,-0.026494259014725685,0.01335948146879673,0.0014047364238649607
19,263,189,272,210,-0.030722077935934067,0.015627864748239517,-0.0002377195341978222
20,267,186,278,214,-0.03535670042037964,0.01812143437564373,-0.00015879461716394871
21,266,188,275,208,-0.04059286043047905,0.020858081057667732,0.0014603114686906338
22,262,187,274,208,-0.045430202037096024,0.023404866456985474,0.0010526125552132726
23,264,187,277,207,-0.05114573985338211,0.026467086747288704,0.0021173020359128714
24,262,186,273,207,-0.057098325341939926,0.029666267335414886,0.0024446705356240273
25,266,189,271,209,-0.06301414221525192,0.032732535153627396,0.003522756975144148
26,267,188,275,205,-0.06937478482723236,0.03612932562828064,0.006046676076948643
27,266,186,274,208,-0.0757584348320961,0.03959023579955101,0.006008858326822519
28,264,189,273,209,-0.08270830661058426,0.04335261508822441,0.010123205371201038
29,264,186,274,209,-0.0902024656534195,0.047292932868003845,0.014288361184298992
30,267,189,270,210,-0.09775158762931824,0.05128354951739311,0.014960973523557186
31,265,188,274,207,-0.10492627322673798,0.05510009452700615,0.012925454415380955
32,262,189,276,213,-0.11415968835353851,0.06000201031565666,0.01643594168126583
